code,sample_year,sex,CV,T_ng_g,age_at_sample,cyst,positive,sample_type,male_status,season,rain_90
4NEm0,2008,M,7.85,1205.31,9.80150581793292,1,1,NA,leader,hot_dry,139.4
4NEm0,2008,M,7.89,1889.11,9.82614647501711,1,1,NA,leader,hot_dry,154
4NEm0,2008,M,7.43,1350.2,9.8425735797399,1,1,NA,leader,hot_dry,167.1
4NEm0,2008,M,8.9,1380.75,9.86447638603696,1,1,NA,leader,hot_dry,189.6
4NEm0,2008,M,2.53,1039.59,9.93292265571526,1,1,NA,leader,cold_wet,450.4
4NEm0,2008,M,15.81,432.8,9.9958932238193,1,1,NA,leader,cold_wet,626.6
4NEm0,2008,M,6.94,842.62,10.031485284052,1,1,NA,leader,cold_wet,544.9
4NEm0,2008,M,0.47,1020.58,10.1738535249829,1,1,NA,leader,cold_wet,1224.2
4NEm0,2008,M,11.68,512.65,10.2614647501711,1,1,NA,leader,cold_dry,1023.4
4NEm0,2008,M,1.76,1180.59,10.3983572895277,1,1,NA,leader,cold_dry,337.5
4NEm0,2008,M,5.82,910.5,10.4421629021218,1,1,NA,leader,cold_dry,155.8
4NEm0,2009,M,2.35,1174.91,10.5352498288843,1,1,NA,leader,cold_dry,109.2
4NEm0,2009,M,5.43,591.92,10.5872689938398,1,1,NA,leader,hot_dry,36.4
4NEm0,2009,M,1.54,1243.02,10.6776180698152,1,1,NA,leader,hot_dry,1.7
4NEm0,2009,M,3.26,1131.17,10.7652292950034,1,1,NA,leader,hot_dry,39.4
4NEm0,2009,M,1.72,1018.21,10.8254620123203,1,1,NA,leader,hot_dry,47.2
4NEm0,2009,M,4.17,1092.51,10.8692676249144,1,1,NA,leader,hot_dry,53.7
4NEm0,2009,M,10.88,535.87,10.92128678987,1,1,NA,leader,cold_wet,71.5
4NEm0,2009,M,10.19,781.34,11.0143737166324,1,1,NA,leader,cold_wet,380.6
4NEm0,2009,M,5.21,594.16,11.088295687885,1,1,NA,leader,cold_wet,644.7
4NEm0,2009,M,10.7,2155.1,11.1813826146475,1,1,NA,leader,cold_wet,959.7
4NEm0,2009,M,2.84,540.35,11.2689938398357,1,1,NA,leader,cold_dry,694.1
4NEm0,2009,M,5.47,605.15,11.3538672142368,1,1,NA,leader,cold_dry,427.3
