"Code","collection_date","cyst","numeric","positive","assay_type","cyst_date","sample_type","plate","dob","Unit","Sex","age","age_cat"
"AKI",2014-09-23,0,2.02974581169007,0,"logscale",NA,"urine","2013",2014-03-07,"A","M",0.55,"non-adult"
"AKI",2014-10-11,0,2.37522854296761,0,"logscale",NA,"urine","2013",2014-03-07,"A","M",0.6,"non-adult"
"AVE",2014-10-11,0,2.58451646184597,1,"logscale",NA,"urine","2013",2014-02-17,"A","M",0.65,"non-adult"
"BAG",2014-08-17,0,2.23064249128895,0,"logscale",NA,"urine","2013",2008-09-09,"T","M",5.94,"non-adult"
"BIG",2014-09-22,0,2.26388268680109,0,"logscale",NA,"urine","2013",2014-07-19,"B1","M",0.18,"non-adult"
"BIG",2014-09-06,0,1.75968088322413,0,"logscale",NA,"urine","2013",2014-07-19,"B1","M",0.13,"non-adult"
"BLO",2014-09-17,0,1.89052219691898,0,"logscale",NA,"urine","2013",2010-11-27,"G","M",3.81,"non-adult"
"BOY",2014-10-17,0,2.28664331205192,0,"logscale",NA,"urine","2013",2007-11-24,"G","M",6.9,"non-adult"
"BOY",2014-08-20,0,2.07985849625311,0,"logscale",NA,"urine","2013",2007-11-24,"G","M",6.74,"non-adult"
"BUM",2015-06-10,0,2.23781641907848,0,"logscale",NA,"urine","2013",2001-04-19,"","M",14.14,"adult"
"BUM",2015-05-16,0,1.9891988785616,0,"logscale",NA,"urine","2013",2001-04-19,"","M",14.07,"adult"
"BUM",2017-11-16,0,0.081,0,"net_OD",NA,"plasma","2024",2001-04-19,"","M",16.58,"adult"
"BUM",2014-09-17,0,2.1683887592695,0,"logscale",NA,"urine","2013",2001-04-19,"","M",13.41,"adult"
"BUM",2014-10-17,0,2.3260899664072,0,"logscale",NA,"urine","2013",2001-04-19,"","M",13.49,"adult"
"BUM",2015-05-14,0,2.33751623317098,0,"logscale",NA,"urine","2013",2001-04-19,"","M",14.07,"adult"
"CAE",2014-08-16,0,2.93201377343599,1,"logscale",NA,"urine","2013",2013-01-29,"C3","M",1.54,"non-adult"
"CAE",2013-09-24,0,2.1,0,"odv",NA,"urine","5",2013-01-29,"C3","M",0.65,"non-adult"
"CLY",2013-09-19,0,16.6,0,"odv",NA,"urine","5",2010-03-01,"C1","M",3.55,"non-adult"
"COP",2014-09-04,0,2.43396593965467,1,"logscale",NA,"urine","2013",2014-02-21,"C4","M",0.53,"non-adult"
"COP",2014-09-08,0,2.27865132178442,0,"logscale",NA,"urine","2013",2014-02-21,"C4","M",0.54,"non-adult"
"CRI",2014-08-14,0,2.15548932259192,0,"logscale",NA,"urine","2013",2013-09-26,"C1","M",0.88,"non-adult"
"CRI",2014-08-20,0,2.36814982959752,0,"logscale",NA,"urine","2013",2013-09-26,"C1","M",0.9,"non-adult"
"CRI",2015-04-08,0,2.01348297185094,0,"logscale",NA,"urine","2013",2013-09-26,"C1","M",1.53,"non-adult"
