"","code","tenure.id","dob","start_date_aligned","end_date_aligned","month","start","stop","event","cyst","N.Females","start_as_leader","end_follow_still_leader","tenure_length_aligned","adjusted_end","age_at_start","age_at_month","cyst_date_aligned","total_follower_males"
"1","AVO","AVO-1","1/12/01","5/1/09","3/1/13","5/1/09",0,1,0,0,4,0,0,1400,"2/1/13",8.298630137,8.298630137,NA,2
"2","AVO","AVO-1","1/12/01","5/1/09","3/1/13","6/1/09",1,2,0,0,4,0,0,1400,"2/1/13",8.298630137,8.383561644,NA,2
"3","AVO","AVO-1","1/12/01","5/1/09","3/1/13","7/1/09",2,3,0,0,4,0,0,1400,"2/1/13",8.298630137,8.465753425,NA,2
"4","AVO","AVO-1","1/12/01","5/1/09","3/1/13","8/1/09",3,4,0,0,4,0,0,1400,"2/1/13",8.298630137,8.550684932,NA,2
"5","AVO","AVO-1","1/12/01","5/1/09","3/1/13","9/1/09",4,5,0,0,4,0,0,1400,"2/1/13",8.298630137,8.635616438,NA,2
"6","AVO","AVO-1","1/12/01","5/1/09","3/1/13","10/1/09",5,6,0,0,4,0,0,1400,"2/1/13",8.298630137,8.717808219,NA,2
"7","AVO","AVO-1","1/12/01","5/1/09","3/1/13","11/1/09",6,7,0,0,4,0,0,1400,"2/1/13",8.298630137,8.802739726,NA,2
"8","AVO","AVO-1","1/12/01","5/1/09","3/1/13","12/1/09",7,8,0,0,4,0,0,1400,"2/1/13",8.298630137,8.884931507,NA,2
"9","AVO","AVO-1","1/12/01","5/1/09","3/1/13","1/1/10",8,9,0,0,4,0,0,1400,"2/1/13",8.298630137,8.969863014,NA,2
"10","AVO","AVO-1","1/12/01","5/1/09","3/1/13","2/1/10",9,10,0,0,4,0,0,1400,"2/1/13",8.298630137,9.054794521,NA,2
"11","AVO","AVO-1","1/12/01","5/1/09","3/1/13","3/1/10",10,11,0,0,4,0,0,1400,"2/1/13",8.298630137,9.131506849,NA,2
"12","AVO","AVO-1","1/12/01","5/1/09","3/1/13","4/1/10",11,12,0,0,4,0,0,1400,"2/1/13",8.298630137,9.216438356,NA,2
"13","AVO","AVO-1","1/12/01","5/1/09","3/1/13","5/1/10",12,13,0,0,4,0,0,1400,"2/1/13",8.298630137,9.298630137,NA,2
"14","AVO","AVO-1","1/12/01","5/1/09","3/1/13","6/1/10",13,14,0,0,4,0,0,1400,"2/1/13",8.298630137,9.383561644,NA,2
"15","AVO","AVO-1","1/12/01","5/1/09","3/1/13","7/1/10",14,15,0,0,4,0,0,1400,"2/1/13",8.298630137,9.465753425,NA,2
"16","AVO","AVO-1","1/12/01","5/1/09","3/1/13","8/1/10",15,16,0,0,4,0,0,1400,"2/1/13",8.298630137,9.550684932,NA,2
"17","AVO","AVO-1","1/12/01","5/1/09","3/1/13","9/1/10",16,17,0,0,4,0,0,1400,"2/1/13",8.298630137,9.635616438,NA,2
"18","AVO","AVO-1","1/12/01","5/1/09","3/1/13","10/1/10",17,18,0,0,3,0,0,1400,"2/1/13",8.298630137,9.717808219,NA,2
"19","AVO","AVO-1","1/12/01","5/1/09","3/1/13","11/1/10",18,19,0,0,3,0,0,1400,"2/1/13",8.298630137,9.802739726,NA,0
"20","AVO","AVO-1","1/12/01","5/1/09","3/1/13","12/1/10",19,20,0,0,3,0,0,1400,"2/1/13",8.298630137,9.884931507,NA,0
"21","AVO","AVO-1","1/12/01","5/1/09","3/1/13","1/1/11",20,21,0,0,3,0,0,1400,"2/1/13",8.298630137,9.969863014,NA,0
"22","AVO","AVO-1","1/12/01","5/1/09","3/1/13","2/1/11",21,22,0,0,3,0,0,1400,"2/1/13",8.298630137,10.05479452,NA,0
"23","AVO","AVO-1","1/12/01","5/1/09","3/1/13","3/1/11",22,23,0,0,3,0,0,1400,"2/1/13",8.298630137,10.13150685,NA,0
"24","AVO","AVO-1","1/12/01","5/1/09","3/1/13","4/1/11",23,24,0,0,3,0,0,1400,"2/1/13",8.298630137,10.21643836,NA,0
"25","AVO","AVO-1","1/12/01","5/1/09","3/1/13","5/1/11",24,25,0,0,3,0,0,1400,"2/1/13",8.298630137,10.29863014,NA,0
"26","AVO","AVO-1","1/12/01","5/1/09","3/1/13","6/1/11",25,26,0,0,3,0,0,1400,"2/1/13",8.298630137,10.38356164,NA,0
"27","AVO","AVO-1","1/12/01","5/1/09","3/1/13","7/1/11",26,27,0,0,3,0,0,1400,"2/1/13",8.298630137,10.46575342,NA,0
